order,pid,ms_subclass,ms_zoning,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod_add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_feature,misc_val,mo_sold,yr_sold,sale_type,sale_condition,saleprice,houseage,remodage,totalsf,totalbath,hasgarage,hasbasement,hasfireplace
197,903227150,50,RM,53.0,6360,Pave,NoFeature,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Feedr,Norm,1Fam,1.5Fin,5,6,1942,1950,Gable,CompShg,MetalSd,MetalSd,Stone,300.0,3,3,CBlock,3,3,No,Rec,360.0,LwQ,159.0,316.0,835.0,GasA,3,Y,FuseA,955,498,0,1453,0.0,0.0,1,1,3,1,4,7,Min2,2,2,Detchd,1942.0,Unf,1.0,240.0,3,3,Y,0,0,35,0,148,0,0,NoFeature,NoFeature,0,3,2010,WD,Normal,132000,68,60,2288.0,1.5,1,1,1
198,903228150,50,RM,50.0,6000,Pave,NoFeature,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,7,1948,1950,Gable,CompShg,Wd Sdng,Wd Sdng,NoMasVnr,0.0,3,3,CBlock,3,3,No,Rec,300.0,Unf,0.0,480.0,780.0,GasA,3,Y,SBrkr,780,636,0,1416,0.0,0.0,1,1,3,1,3,6,Typ,0,0,Detchd,1948.0,Unf,1.0,312.0,3,3,P,221,0,48,0,0,0,0,NoFeature,NoFeature,0,3,2010,WD,Normal,139900,62,60,2196.0,1.5,1,1,0
199,903232190,50,RM,52.0,6240,Pave,NoFeature,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,5,7,1936,1980,Gable,CompShg,VinylSd,VinylSd,NoMasVnr,0.0,3,3,CBlock,3,2,No,Rec,276.0,Unf,0.0,252.0,528.0,GasA,4,Y,SBrkr,548,492,0,1040,0.0,0.0,1,0,2,1,3,5,Typ,0,0,Detchd,1979.0,Fin,2.0,624.0,3,3,P,306,0,32,0,0,0,0,NoFeature,NoFeature,0,5,2010,WD,Normal,123900,74,30,1568.0,1.0,1,1,0
200,903233120,50,RM,52.0,6240,Pave,NoFeature,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,5,5,1930,1950,Gable,CompShg,MetalSd,MetalSd,NoMasVnr,0.0,3,3,BrkTil,3,3,No,LwQ,448.0,Unf,0.0,480.0,928.0,GasA,3,Y,FuseF,928,608,0,1536,0.0,0.0,2,0,4,1,3,7,Typ,1,4,Detchd,1930.0,Unf,2.0,480.0,3,3,Y,0,10,0,0,0,0,0,MnPrv,NoFeature,0,3,2010,WD,Normal,138400,80,60,2464.0,2.0,1,1,1
201,903234050,30,RM,51.0,6120,Pave,NoFeature,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,6,5,1923,1950,Gable,CompShg,Wd Sdng,Wd Sdng,NoMasVnr,0.0,3,3,BrkTil,2,2,No,ALQ,960.0,Unf,0.0,164.0,1124.0,GasA,3,Y,SBrkr,1068,0,0,1068,1.0,0.0,1,0,2,1,3,5,Typ,1,4,Detchd,1923.0,Unf,1.0,288.0,3,3,Y,0,0,128,0,0,0,0,NoFeature,NoFeature,0,3,2010,WD,Normal,109500,87,60,2192.0,2.0,1,1,1
202,903425110,70,RM,50.0,10300,Pave,NoFeature,IR1,Bnk,AllPub,Inside,Gtl,OldTown,RRAn,Feedr,1Fam,2Story,7,6,1921,1950,Gable,CompShg,Stucco,Stucco,NoMasVnr,0.0,3,3,BrkTil,3,3,No,Unf,0.0,Unf,0.0,576.0,576.0,GasA,4,Y,SBrkr,902,808,0,1710,0.0,0.0,2,0,3,1,3,9,Typ,0,0,Detchd,1990.0,Unf,2.0,480.0,3,3,Y,12,11,64,0,0,0,0,GdPrv,NoFeature,0,4,2010,WD,Normal,140000,89,60,2286.0,2.0,1,1,0
203,903426180,50,RM,57.0,8094,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,4,5,1915,1950,Gable,CompShg,MetalSd,MetalSd,NoMasVnr,0.0,3,2,CBlock,3,3,No,Unf,0.0,Unf,0.0,888.0,888.0,GasA,5,Y,SBrkr,888,1074,0,1962,0.0,0.0,1,1,4,1,3,9,Typ,1,3,Detchd,1915.0,Unf,2.0,572.0,3,3,Y,160,0,364,0,0,0,0,GdPrv,NoFeature,0,6,2010,WD,Normal,149500,95,60,2850.0,1.5,1,1,1
204,903426200,70,RM,60.0,12900,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,6,8,1912,2009,Gable,CompShg,Wd Sdng,Wd Sdng,NoMasVnr,0.0,4,4,PConc,3,3,No,Unf,0.0,Unf,0.0,780.0,780.0,GasA,5,Y,SBrkr,780,780,0,1560,0.0,0.0,1,1,3,1,4,7,Typ,0,0,NoFeature,1912.0,NoFeature,0.0,0.0,0,0,N,344,0,0,0,168,0,0,NoFeature,NoFeature,0,5,2010,WD,Normal,159900,98,1,2340.0,1.5,0,1,0
205,903430080,70,RM,52.0,3068,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,6,8,1920,1993,Gable,CompShg,VinylSd,VinylSd,NoMasVnr,0.0,3,4,BrkTil,3,3,No,Unf,0.0,Unf,0.0,662.0,662.0,GasA,5,Y,SBrkr,662,662,0,1324,0.0,1.0,1,0,3,1,3,6,Typ,0,0,Detchd,1920.0,Unf,1.0,180.0,3,3,Y,0,0,112,0,0,0,0,GdPrv,NoFeature,0,2,2010,WD,Normal,122000,90,17,1986.0,1.5,1,1,0
206,903450110,90,RM,110.0,8472,Grvl,NoFeature,IR2,Bnk,AllPub,Corner,Mod,IDOTRR,RRNn,Norm,Duplex,1Story,5,5,1963,1963,Gable,CompShg,Wd Sdng,Wd Sdng,NoMasVnr,0.0,2,3,CBlock,4,3,Gd,LwQ,104.0,GLQ,712.0,0.0,816.0,GasA,3,N,SBrkr,816,0,0,816,1.0,0.0,1,0,2,1,3,5,Typ,0,0,CarPort,1963.0,Unf,2.0,516.0,3,3,Y,106,0,0,0,0,0,0,NoFeature,NoFeature,0,5,2010,WD,Normal,110000,47,47,1632.0,2.0,1,1,0
207,903454060,190,RM,70.0,5600,Pave,NoFeature,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,2fmCon,2Story,4,5,1930,1950,Hip,CompShg,VinylSd,Wd Shng,NoMasVnr,0.0,2,2,Slab,0,0,NoFeature,NoFeature,0.0,NoFeature,0.0,0.0,0.0,GasA,2,N,SBrkr,372,720,0,1092,0.0,0.0,2,0,3,2,2,7,Mod,0,0,NoFeature,1930.0,NoFeature,0.0,0.0,0,0,N,0,0,0,0,0,0,0,NoFeature,Othr,3500,7,2010,WD,Normal,55000,80,60,1092.0,2.0,0,0,0
208,903476030,190,RM,76.0,7630,Pave,NoFeature,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Feedr,Norm,2fmCon,2Story,5,9,1900,1996,Gable,CompShg,Wd Sdng,Wd Sdng,NoMasVnr,0.0,3,4,BrkTil,4,3,No,Unf,0.0,Unf,0.0,360.0,360.0,GasA,4,Y,SBrkr,1032,780,0,1812,0.0,0.0,2,0,4,2,4,8,Typ,1,1,Detchd,1999.0,Unf,2.0,672.0,3,3,N,344,0,40,0,0,0,0,MnPrv,NoFeature,0,5,2010,WD,Normal,140000,110,14,2172.0,2.0,1,1,1
209,904100140,70,RL,80.5,24090,Pave,NoFeature,Reg,Lvl,AllPub,Inside,Gtl,ClearCr,Norm,Norm,1Fam,2Story,7,7,1940,1950,Gable,CompShg,MetalSd,MetalSd,NoMasVnr,0.0,3,4,CBlock,3,3,Mn,Unf,0.0,Unf,0.0,1032.0,1032.0,GasA,5,Y,SBrkr,1207,1196,0,2403,0.0,0.0,2,0,4,1,3,10,Typ,2,3,Attchd,1940.0,Unf,1.0,349.0,3,3,Y,56,0,318,0,0,0,0,NoFeature,NoFeature,0,6,2010,COD,Normal,244400,70,60,3435.0,2.0,1,1,1
210,904101110,20,RL,100.0,15263,Pave,NoFeature,IR1,Lvl,AllPub,Inside,Gtl,ClearCr,Feedr,Norm,1Fam,1Story,5,5,1959,1959,Gable,CompShg,HdBoard,HdBoard,BrkFace,90.0,3,3,CBlock,4,3,No,Rec,766.0,Unf,0.0,656.0,1422.0,GasA,4,Y,SBrkr,1675,0,0,1675,0.0,0.0,2,0,3,1,3,8,Typ,2,4,Attchd,1959.0,Unf,1.0,365.0,3,3,Y,0,132,0,0,0,0,0,NoFeature,NoFeature,0,5,2010,WD,Normal,173000,51,51,3097.0,2.0,1,1,1
211,904300150,50,RL,72.0,10632,Pave,NoFeature,IR1,Lvl,AllPub,Inside,Gtl,ClearCr,Norm,Norm,1Fam,1.5Fin,5,3,1917,1950,Gable,CompShg,Wd Sdng,Wd Sdng,NoMasVnr,0.0,3,3,BrkTil,4,2,No,Unf,0.0,Unf,0.0,689.0,689.0,GasA,4,N,SBrkr,725,499,0,1224,0.0,0.0,1,1,3,1,1,6,Mod,0,0,Detchd,1917.0,Unf,1.0,180.0,2,2,N,0,0,248,0,0,0,0,NoFeature,NoFeature,0,1,2010,COD,Normal,107500,93,60,1913.0,1.5,1,1,0
212,904302260,190,RL,60.0,9900,Pave,NoFeature,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,2fmCon,1.5Fin,5,4,1915,1950,Gable,CompShg,Wd Sdng,Wd Shng,NoMasVnr,0.0,2,2,BrkTil,3,3,No,Rec,1026.0,Unf,0.0,186.0,1212.0,GasA,3,N,SBrkr,1212,180,0,1392,1.0,0.0,1,0,3,1,3,6,Typ,0,0,NoFeature,1915.0,NoFeature,0.0,0.0,0,0,N,0,0,168,0,0,0,0,NoFeature,NoFeature,0,2,2010,ConLD,Normal,100000,95,60,2604.0,2.0,0,1,0
213,904350045,50,RL,65.0,6001,Pave,NoFeature,IR1,Bnk,AllPub,Inside,Mod,SWISU,Norm,Norm,1Fam,1.5Fin,6,5,1940,1950,Gable,CompShg,VinylSd,VinylSd,NoMasVnr,0.0,3,3,CBlock,2,3,No,LwQ,368.0,Unf,0.0,232.0,600.0,GasA,5,N,SBrkr,600,319,0,919,0.0,0.0,1,0,3,1,3,5,Typ,0,0,Detchd,1940.0,Unf,1.0,231.0,3,3,Y,0,0,45,0,0,0,0,MnPrv,NoFeature,0,3,2010,WD,Normal,95000,70,60,1519.0,1.0,1,1,0
214,904351040,70,C (all),60.0,6449,Pave,NoFeature,IR1,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,2Story,4,1,1907,1950,Gambrel,CompShg,Wd Sdng,Stucco,NoMasVnr,0.0,3,3,CBlock,3,3,No,Rec,73.0,Unf,0.0,634.0,707.0,GasW,3,N,SBrkr,942,942,0,1884,0.0,0.0,1,1,4,1,3,7,Typ,0,0,NoFeature,1907.0,NoFeature,0.0,0.0,0,0,N,0,0,239,0,0,0,0,NoFeature,NoFeature,0,3,2010,WD,Abnorml,93369,103,60,2591.0,1.5,0,1,0
215,904352190,190,RH,60.0,6048,Pave,NoFeature,Reg,Lvl,AllPub,Corner,Gtl,SWISU,Artery,Norm,2fmCon,1.5Fin,5,7,1910,1950,Gable,CompShg,Wd Sdng,Wd Sdng,NoMasVnr,0.0,3,4,BrkTil,3,3,Mn,LwQ,736.0,Unf,0.0,120.0,856.0,GasA,4,Y,SBrkr,936,744,0,1680,1.0,0.0,2,0,2,2,3,7,Typ,1,4,Detchd,1910.0,Unf,2.0,450.0,3,2,P,56,144,0,0,0,0,0,NoFeature,NoFeature,0,6,2010,COD,Normal,114900,100,60,2536.0,3.0,1,1,1
216,905101100,50,RL,54.0,6342,Pave,NoFeature,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Feedr,Norm,1Fam,1.5Fin,5,8,1875,1996,Gable,CompShg,VinylSd,VinylSd,NoMasVnr,0.0,3,4,CBlock,3,3,No,Unf,0.0,Unf,0.0,780.0,780.0,GasA,4,N,SBrkr,780,240,0,1020,0.0,0.0,1,0,2,1,3,6,Typ,0,0,NoFeature,1875.0,NoFeature,0.0,0.0,0,0,N,0,0,176,0,0,0,0,NoFeature,NoFeature,0,5,2010,WD,Normal,94000,135,14,1800.0,1.0,0,1,0
217,905101300,90,RL,72.0,10773,Pave,NoFeature,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,3,1967,1967,Gable,Tar&Grv,Plywood,Plywood,BrkFace,72.0,2,2,CBlock,3,3,No,ALQ,704.0,Unf,0.0,1128.0,1832.0,GasA,3,N,SBrkr,1832,0,0,1832,2.0,0.0,2,0,4,2,3,8,Typ,0,0,NoFeature,1967.0,NoFeature,0.0,0.0,0,0,Y,0,58,0,0,0,0,0,NoFeature,NoFeature,0,5,2010,WD,Normal,136000,43,43,3664.0,4.0,0,1,0
218,905101310,90,RL,72.0,10778,Pave,NoFeature,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1968,1968,Hip,CompShg,HdBoard,HdBoard,NoMasVnr,0.0,3,3,CBlock,3,3,No,Unf,0.0,Unf,0.0,1768.0,1768.0,GasA,3,N,SBrkr,1768,0,0,1768,0.0,0.0,2,0,4,2,3,8,Typ,0,0,NoFeature,1968.0,NoFeature,0.0,0.0,0,0,Y,0,0,0,0,0,0,0,NoFeature,NoFeature,0,4,2010,WD,Normal,136500,42,42,3536.0,2.0,0,1,0
219,905102060,190,RL,75.0,11625,Pave,NoFeature,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,2fmCon,1Story,5,4,1965,1965,Hip,CompShg,Plywood,HdBoard,NoMasVnr,0.0,3,3,PConc,3,3,Mn,BLQ,841.0,Unf,0.0,198.0,1039.0,GasA,5,Y,SBrkr,1039,0,0,1039,1.0,0.0,1,1,3,1,3,6,Typ,0,0,Attchd,1965.0,Unf,2.0,504.0,3,3,Y,0,0,0,0,0,0,0,NoFeature,NoFeature,0,4,2010,WD,Normal,131500,45,45,2078.0,2.5,1,1,0
220,905103060,20,RL,72.0,11341,Pave,NoFeature,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1957,1996,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,3,3,CBlock,4,3,No,ALQ,1302.0,Unf,0.0,90.0,1392.0,GasA,3,Y,SBrkr,1392,0,0,1392,1.0,0.0,1,1,3,1,3,5,Mod,1,4,Detchd,1957.0,Unf,2.0,528.0,3,3,Y,0,0,0,0,95,0,0,NoFeature,NoFeature,0,5,2010,WD,Normal,121500,53,14,2784.0,2.5,1,1,1
221,905104210,20,RL,70.0,8521,Pave,NoFeature,Reg,Lvl,AllPub,FR2,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,5,5,1967,1967,Gable,CompShg,HdBoard,HdBoard,NoMasVnr,0.0,3,3,CBlock,3,3,No,ALQ,842.0,Unf,0.0,70.0,912.0,GasA,3,Y,SBrkr,912,0,0,912,0.0,0.0,1,0,3,1,3,5,Typ,1,2,Detchd,1974.0,Unf,1.0,336.0,3,3,Y,0,0,0,0,0,0,0,MnPrv,NoFeature,0,5,2010,WD,Normal,125000,43,43,1824.0,1.0,1,1,1
222,905105070,20,RL,72.0,8246,Pave,NoFeature,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,NoMasVnr,0.0,3,4,CBlock,3,3,Mn,Rec,188.0,ALQ,668.0,204.0,1060.0,GasA,5,Y,SBrkr,1060,0,0,1060,1.0,0.0,1,0,3,1,4,6,Typ,1,3,Attchd,1968.0,Unf,1.0,270.0,3,3,Y,406,90,0,0,0,0,0,MnPrv,NoFeature,0,5,2010,WD,Normal,154000,42,9,2120.0,2.0,1,1,1
223,905105200,20,RL,65.0,7800,Pave,NoFeature,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,7,1966,2008,Hip,CompShg,HdBoard,HdBoard,BrkFace,47.0,3,3,CBlock,3,3,Mn,BLQ,240.0,Rec,474.0,150.0,864.0,GasA,5,Y,SBrkr,892,0,0,892,1.0,0.0,1,0,3,1,4,5,Typ,0,0,Detchd,1966.0,Unf,1.0,416.0,3,3,Y,0,0,0,0,0,0,0,NoFeature,NoFeature,0,6,2010,WD,Normal,137900,44,2,1756.0,2.0,1,1,0
224,905106140,60,RL,80.0,9364,Pave,NoFeature,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Norm,Norm,1Fam,2Story,6,7,1969,1969,Gable,CompShg,HdBoard,HdBoard,Stone,143.0,3,3,CBlock,3,3,No,ALQ,371.0,Unf,0.0,292.0,663.0,GasA,3,Y,SBrkr,663,689,0,1352,0.0,0.0,1,1,4,1,3,7,Typ,0,0,Attchd,1969.0,Fin,1.0,299.0,3,3,Y,379,36,0,0,0,0,0,MnPrv,NoFeature,0,3,2010,WD,Normal,158000,41,41,2015.0,1.5,1,1,0
225,905106170,20,RL,65.0,7832,Pave,NoFeature,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1968,1968,Hip,CompShg,HdBoard,HdBoard,NoMasVnr,0.0,3,3,CBlock,3,3,No,GLQ,775.0,Unf,0.0,89.0,864.0,GasA,5,Y,SBrkr,864,0,0,864,1.0,0.0,1,0,2,1,3,4,Typ,0,0,Detchd,1969.0,Unf,1.0,280.0,3,3,Y,226,0,0,0,0,0,0,NoFeature,NoFeature,0,5,2010,WD,Normal,137250,42,42,1728.0,2.0,1,1,0
226,905107110,90,RL,72.0,7424,Pave,NoFeature,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,SFoyer,5,5,1978,1978,Gable,CompShg,Plywood,Plywood,NoMasVnr,0.0,3,3,CBlock,4,3,Av,GLQ,1319.0,Unf,0.0,0.0,1319.0,GasA,3,Y,SBrkr,1373,0,0,1373,1.0,0.0,1,0,3,1,3,5,Typ,2,3,Attchd,1978.0,Fin,2.0,591.0,3,3,Y,0,0,0,0,0,0,0,NoFeature,NoFeature,0,5,2010,WD,Normal,160250,32,32,2692.0,2.0,1,1,1
227,905107250,60,RL,86.0,11227,Pave,NoFeature,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,2Story,5,5,1968,1968,Gable,CompShg,HdBoard,HdBoard,NoMasVnr,0.0,3,4,CBlock,3,4,No,Rec,267.0,ALQ,453.0,0.0,720.0,GasA,5,Y,SBrkr,720,720,0,1440,0.0,0.0,1,1,4,1,3,7,Typ,2,3,Attchd,1968.0,Unf,2.0,480.0,3,3,Y,192,38,0,0,0,0,0,MnPrv,NoFeature,0,3,2010,WD,Normal,163000,42,42,2160.0,1.5,1,1,1
228,905107320,60,RL,72.0,11616,Pave,NoFeature,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,2Story,6,5,1978,1978,Hip,CompShg,HdBoard,HdBoard,BrkCmn,328.0,3,3,CBlock,3,3,Mn,Rec,438.0,Unf,0.0,234.0,672.0,GasA,3,Y,SBrkr,672,714,0,1386,0.0,0.0,2,1,3,1,3,6,Typ,1,3,Attchd,1978.0,Fin,2.0,440.0,3,3,Y,335,0,0,0,0,0,0,GdPrv,NoFeature,0,4,2010,WD,Abnorml,158900,32,32,2058.0,2.5,1,1,1
229,905109130,60,RL,80.0,14000,Pave,NoFeature,Reg,Lvl,AllPub,Inside,Mod,ClearCr,Norm,Norm,1Fam,2Story,7,5,1996,1997,Gable,CompShg,Wd Sdng,Wd Sdng,NoMasVnr,0.0,4,3,PConc,5,3,Gd,GLQ,1201.0,Unf,0.0,105.0,1306.0,GasA,5,Y,SBrkr,1306,954,0,2260,1.0,0.0,2,1,3,1,4,7,Typ,0,0,Attchd,1996.0,RFn,2.0,533.0,3,3,Y,296,44,0,0,0,0,0,NoFeature,NoFeature,0,4,2010,WD,Normal,328000,14,13,3566.0,3.5,1,1,0
230,905109170,20,RL,80.5,20062,Pave,NoFeature,IR1,Low,AllPub,Inside,Mod,ClearCr,Norm,Norm,1Fam,1Story,7,7,1977,2001,Hip,CompShg,Wd Sdng,Wd Sdng,NoMasVnr,0.0,4,4,CBlock,4,3,Gd,ALQ,1092.0,Unf,0.0,328.0,1420.0,GasA,4,Y,SBrkr,1483,0,0,1483,1.0,0.0,1,1,1,1,3,4,Typ,2,3,Attchd,1977.0,RFn,2.0,690.0,3,3,Y,496,0,0,0,0,0,0,NoFeature,NoFeature,0,4,2010,WD,Normal,270000,33,9,2903.0,2.5,1,1,1
231,905201030,30,RL,94.0,9259,Pave,NoFeature,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,4,4,1927,1950,Gable,CompShg,Wd Sdng,Wd Sdng,NoMasVnr,0.0,3,3,BrkTil,2,3,No,Unf,0.0,Unf,0.0,660.0,660.0,GasA,3,N,SBrkr,756,0,0,756,0.0,0.0,1,0,2,1,3,4,Typ,0,0,Detchd,1945.0,Unf,2.0,440.0,3,3,N,80,0,0,0,0,0,0,NoFeature,NoFeature,0,6,2010,WD,Normal,85000,83,60,1416.0,1.0,1,1,0
232,905202090,20,RL,60.0,9600,Pave,NoFeature,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,4,7,1950,1995,Gable,CompShg,VinylSd,HdBoard,NoMasVnr,0.0,3,3,CBlock,4,3,No,BLQ,442.0,Unf,0.0,625.0,1067.0,GasA,3,Y,SBrkr,1067,0,0,1067,0.0,0.0,2,0,2,1,4,4,Min2,0,0,Attchd,1996.0,Unf,2.0,436.0,3,3,Y,290,0,0,0,0,0,0,NoFeature,NoFeature,0,2,2010,WD,Normal,128000,60,15,2134.0,2.0,1,1,0
233,905325030,40,RL,80.5,23595,Pave,NoFeature,Reg,Low,AllPub,Inside,Sev,ClearCr,Norm,Norm,1Fam,1Story,7,6,1979,1979,Shed,WdShake,Plywood,Plywood,NoMasVnr,0.0,4,3,PConc,4,3,Gd,GLQ,1258.0,Unf,0.0,74.0,1332.0,GasA,3,Y,SBrkr,1332,192,0,1524,2.0,0.0,0,1,0,1,4,4,Typ,1,3,Attchd,1979.0,Fin,2.0,586.0,3,3,Y,268,0,0,0,0,0,0,NoFeature,NoFeature,0,4,2010,WD,Normal,260000,31,31,2856.0,2.5,1,1,1
234,905352140,60,RL,80.5,17082,Pave,NoFeature,IR1,Low,AllPub,CulDSac,Mod,ClearCr,Norm,Norm,1Fam,2Story,6,5,1978,1992,Gable,CompShg,VinylSd,VinylSd,BrkFace,288.0,3,3,PConc,4,3,Av,ALQ,964.0,Unf,0.0,153.0,1117.0,GasA,5,Y,SBrkr,1117,864,0,1981,1.0,0.0,2,1,4,1,4,8,Typ,1,3,Attchd,1978.0,Fin,2.0,522.0,3,3,Y,336,104,0,0,0,0,0,NoFeature,NoFeature,0,5,2010,WD,Normal,230000,32,18,3098.0,3.5,1,1,1
235,905378040,50,RL,124.0,18600,Pave,NoFeature,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,3,4,1938,1990,Gable,CompShg,Wd Sdng,Wd Sdng,NoMasVnr,0.0,3,3,CBlock,3,3,Mn,BLQ,288.0,LwQ,684.0,0.0,972.0,GasA,3,Y,FuseA,1052,558,0,1610,0.0,1.0,2,0,4,1,2,8,Typ,1,4,Attchd,1938.0,RFn,1.0,480.0,3,3,Y,0,0,60,0,0,0,0,NoFeature,Shed,450,6,2010,WD,Normal,124000,72,20,2582.0,2.5,1,1,1
236,905426060,30,RL,85.0,10625,Pave,NoFeature,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,5,1920,1950,Gable,CompShg,Wd Sdng,Wd Sdng,NoMasVnr,0.0,3,3,BrkTil,3,3,No,ALQ,108.0,Unf,0.0,350.0,458.0,GasA,2,N,SBrkr,835,0,0,835,0.0,0.0,1,0,2,1,3,5,Typ,0,0,Basment,1920.0,Unf,1.0,366.0,2,3,Y,0,0,77,0,0,0,0,NoFeature,Shed,400,5,2010,COD,Abnorml,83000,90,60,1293.0,1.0,1,1,0
237,905426200,20,RL,65.0,11479,Pave,NoFeature,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,6,7,1950,1987,Gable,CompShg,Wd Sdng,Plywood,NoMasVnr,0.0,3,3,CBlock,3,3,No,GLQ,104.0,Rec,387.0,172.0,663.0,GasA,5,Y,SBrkr,1074,0,0,1074,1.0,0.0,1,0,3,1,4,6,Typ,1,3,Attchd,1987.0,Unf,1.0,467.0,3,3,Y,0,52,52,0,0,0,0,MnPrv,NoFeature,0,6,2010,WD,Normal,144500,60,23,1737.0,2.0,1,1,1
238,905451320,20,RL,68.0,9571,Pave,NoFeature,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,6,1956,1956,Gable,CompShg,Wd Sdng,Wd Sdng,NoMasVnr,0.0,3,3,CBlock,3,3,Av,BLQ,739.0,Unf,0.0,405.0,1144.0,GasA,3,Y,SBrkr,1144,0,0,1144,1.0,0.0,1,0,3,1,3,6,Typ,0,0,Attchd,1956.0,Unf,1.0,596.0,3,3,Y,44,0,0,0,0,0,0,NoFeature,NoFeature,0,6,2010,WD,Normal,129000,54,54,2288.0,2.0,1,1,0
239,905452110,50,RL,50.0,9350,Pave,NoFeature,Reg,Bnk,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,4,6,1947,1979,Gable,CompShg,WdShing,Wd Shng,NoMasVnr,0.0,3,3,CBlock,3,2,No,LwQ,192.0,Unf,0.0,564.0,756.0,GasA,5,Y,SBrkr,1169,0,362,1531,0.0,0.0,1,0,3,1,3,8,Typ,1,3,Detchd,1947.0,Unf,1.0,209.0,2,3,Y,0,0,0,0,0,0,0,MnPrv,NoFeature,0,6,2010,WD,Normal,127000,63,31,1925.0,1.0,1,1,1
240,905452160,20,RL,75.0,9525,Pave,NoFeature,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,7,1954,1998,Gable,CompShg,WdShing,Wd Shng,NoMasVnr,0.0,3,3,CBlock,3,3,Av,BLQ,954.0,Unf,0.0,218.0,1172.0,GasA,3,Y,SBrkr,1172,0,0,1172,1.0,0.0,1,0,3,1,3,5,Typ,0,0,Attchd,1954.0,Fin,1.0,366.0,3,3,Y,240,0,0,0,0,0,0,NoFeature,NoFeature,0,6,2010,WD,Normal,128000,56,12,2344.0,2.0,1,1,0
